n,ila
1686,106393
1687,111032
1688,80109
1689,58199
1690,40480
1691,21414
1692,-15621
1693,-27773
1694,-68865
1695,-97360
1696,-110017
1697,-119546
1698,-76249
1699,-75584
1700,-72243
1701,-21867
1702,7261
1703,16944
1704,43500
1705,80056
1706,94537
1707,95984
1708,99253
1709,95409
1710,88167
1711,58706
1712,20209
1713,-15367
1714,-41617
1715,-57015
1716,-85560
1717,-103676
1718,-100211
1719,-82539
1720,-102148
1721,-66123
1722,-47614
1723,-9807
1724,41930
1725,39713
1726,66271
1727,79970
1728,91571
1729,114716
1730,98918
1731,67065
1732,64575
1733,20935
1734,-14072
1735,-45694
1736,-67231
1737,-75602
1738,-104059
1739,-103906
1740,-90867
1741,-70736
1742,-78897
1743,-46959
1744,9440
1745,41030
1746,61453
1747,62529
1748,82691
1749,110592
1750,97994
1751,96492
1752,87025
1753,44897
1754,27496
1755,-8174
1756,-39425
1757,-62943
1758,-88141
1759,-99124
1760,-113445
1761,-102958
1762,-74573
1763,-49473
1764,-29026
1765,12739
1766,26254
1767,47695
1768,81972
1769,94944
1770,111143
1771,107990
1772,87061
1773,51854
1774,39400
1775,11085
1776,-13190
1777,-51863
1778,-77351
1779,-93868
1780,-95778
1781,-98262
1782,-82902
1783,-67848
1784,-59854
1785,-15225
1786,28799
1787,53167
1788,62193
1789,87256
1790,80138
1791,94164
1792,103552
1793,81900
1794,56950
1795,15636
1796,-5116
1797,-69851
1798,-74479
1799,-85890
1800,-86712
1801,-89303
1802,-105119
1803,-50807
1804,-58657
1805,-25074
1806,14353
1807,21344
1808,59213
1809,85133
1810,97001
1811,99177
1812,79013
1813,79804
1814,38898
1815,9065
1816,-8404
1817,-49018
1818,-59915
1819,-105366
1820,-104154
1821,-103056
1822,-95987
1823,-45414
1824,-39834
1825,-26476
1826,-4465
1827,37957
1828,65752
1829,83125
1830,103592
1831,88857
1832,88547
1833,66022
1834,49904
1835,6455
1836,-23091
1837,-32021
1838,-76990
1839,-92556
1840,-128707
1841,-99888
1842,-78602
1843,-80230
1844,-50634
1845,-19468
1846,22830
1847,53004
1848,60221
1849,97018
1850,112503
1851,92148
1852,90325
1853,68221
1854,68043
1855,11092
1856,-33513
1857,-56376
1858,-85952
1859,-96226
1860,-99463
1861,-94468
1862,-76171
1863,-50945
1864,-38175
1865,3719
1866,34358
1867,62699
1868,84696
1869,100236
1870,101109
1871,112939
1872,69295
1873,51254
1874,29891
1875,-24943
1876,-47655
1877,-80847
1878,-91883
1879,-104632
1880,-109332
1881,-107482
1882,-89524
1883,-54991
1884,2223
1885,25048
1886,53023
1887,77319
1888,94501
1889,99504
1890,86237
1891,66369
1892,52482
1893,35182
1894,5694
1895,-32136
1896,-85280
1897,-86485
1898,-79842
1899,-91124
1900,-82813
1901,-72490
1902,-50521
1903,1125
1904,19461
1905,53625
1906,73342
1907,84531
1908,97698
1909,103666
1910,114746
1911,49952
1912,18466
1913,-10217
1914,-21468
1915,-59224
1916,-93500
1917,-87771
1918,-105442
1919,-88178
1920,-78308
1921,-50646
1922,-12027
1923,19851
1924,50482
1925,80318
1926,91437
1927,91572
1928,99982
1929,71363
1930,55870
1931,43116
1932,-15561
1933,-37302
1934,-54858
1935,-97947
1936,-92215
1937,-91395
1938,-102309
1939,-59264
1940,-44773
1941,-609
1942,42568
1943,51448
1944,83451
1945,97170
1946,94892
1947,101969
1948,80590
1949,62030
1950,22892
1951,-29612
1952,-30263
1953,-77568
1954,-90485
1955,-97041
1956,-110796
1957,-79798
1958,-67765
1959,-33842
1960,10473
1961,57207
1962,77497
1963,87664
1964,87015
1965,97231
1966,105931
1967,58393
1968,29058
1969,-4265
1970,-31812
1971,-74784
1972,-87870
1973,-79984
1974,-77081
1975,-86270
1976,-89721
1977,-48831
1978,-7930
1979,28741
1980,67379
1981,86862
1982,89461
1983,75320
1984,90808
1985,90238
1986,57571
1987,20642
1988,-22059
1989,-49334
1990,-82710
1991,-98878
1992,-98908
1993,-88985
1994,-76986
1995,-52227
1996,-21440
1997,11428
1998,44798
1999,79978
2000,92309
2001,96784
2002,98852
2003,81627
2004,51819
2005,-2243
2006,-16647
2007,-47724
2008,-76729
2009,-83320
2010,-104832
2011,-91371
2012,-75919
2013,-51264
2014,-14527
2015,4323
2016,38388
2017,73644
2018,103167
2019,122290
2020,108178
2021,83473
2022,35162
2023,8693
2024,-19077
2025,-71615
2026,-76280
2027,-92810
2028,-96908
2029,-80478
2030,-72001
2031,-55770
2032,-24378
2033,21421
2034,67025
2035,100804
2036,91950
2037,98687
2038,84773
2039,65956
2040,53247
2041,25646
2042,-4809
2043,-55406
2044,-107768
2045,-103215
2046,-94741
2047,-84686
2048,-59225
2049,-39984
2050,-9186
2051,32364
2052,45252
2053,71217
2054,93678
2055,97679
2056,97720
2057,69241
2058,35237
2059,3150
2060,-21492
2061,-66240
2062,-98265
2063,-111491
2064,-96619
2065,-75011
2066,-76448
2067,-60663
2068,7325
2069,67836
2070,89327
2071,98724
2072,85128
2073,82059
2074,76781
2075,64297
2076,24179
2077,-16354
2078,-55496
2079,-85517
2080,-85714
2081,-107251
2082,-94483
2083,-65400
2084,-36918
2085,-7016
2086,36633
2087,81190
2088,74619
2089,88486
2090,102993
2091,94082
2092,83397
2093,36978
2094,-8281
2095,-50882
2096,-79709
2097,-79089
2098,-82780
2099,-93516
2100,-79007
2101,-59706
2102,-26297
2103,12394
2104,56326
2105,80512
2106,81462
2107,103591
2108,94749
2109,77887
2110,41375
2111,-8986
2112,-28020
2113,-66732
2114,-87092
2115,-93742
2116,-84463
2117,-75756
2118,-69892
2119,-21819
2120,20202
2121,53328
2122,76327
2123,88499
2124,102140
2125,104086
2126,77383
2127,35607
2128,-3244
2129,-18209
2130,-43603
2131,-75717
2132,-120196
2133,-112524
2134,-86056
2135,-35801
2136,-6408
2137,-3266
2138,40564
2139,69155
2140,103654
2141,98689
2142,92011
2143,85803
2144,51768
2145,7946
2146,-32627
2147,-62728
2148,-75164
2149,-93171
2150,-107056
2151,-76099
2152,-54936
2153,-31595
2154,7854
2155,37786
2156,89729
2157,101925
2158,99909
2159,88422
2160,70324
2161,48831
2162,-9975
2163,-41951
2164,-66000
2165,-77899
2166,-92952
2167,-106293
2168,-83846
2169,-51147
2170,-11830
2171,14943
2172,59115
2173,94206
2174,108249
2175,109740
2176,78754
2177,71084
2178,38653
2179,-1371
2180,-37617
2181,-67552
2182,-95287
2183,-111423
2184,-90553
2185,-67400
2186,-32386
2187,6585
2188,26977
2189,64037
2190,97556
2191,112105
2192,105943
2193,78800
2194,49993
2195,10290
2196,-13020
2197,-50585
2198,-77935
2199,-98709
2200,-106290
2201,-83630
2202,-61338
2203,-29655
2204,5222
2205,43741
2206,78068
2207,109243
2208,113857
2209,85766
2210,52339
2211,22118
2212,2044
2213,-42689
2214,-85936
2215,-97921
2216,-104365
2217,-89685
2218,-68270
2219,-48062
2220,-6337
2221,39814
2222,65878
2223,89633
2224,111942
2225,91919
2226,48483
2227,32196
2228,5947
2229,-38724
2230,-81498
2231,-100677
2232,-92449
2233,-101446
2234,-84790
2235,-38620
2236,-7421
2237,28805
2238,54123
2239,94881
2240,108473
2241,79500
2242,81838
2243,63546
2244,19024
2245,-28331
2246,-65074
2247,-73180
2248,-84262
2249,-87900
2250,-83307
2251,-71408
2252,-5542
2253,50788
2254,61705
2255,75279
2256,87896
2257,95933
2258,84083
2259,55958
2260,19929
2261,-28274
2262,-61646
2263,-87674
2264,-102892
2265,-100946
2266,-100082
2267,-73125
2268,-19019
2269,21755
2270,54781
2271,76645
2272,88554
2273,109099
2274,90219
2275,53120
2276,23229
2277,-22574
2278,-52925
2279,-81344
2280,-105988
2281,-97257
2282,-90389
2283,-46370
2284,-14790
2285,15784
2286,56743
2287,79701
2288,105370
2289,98474
2290,81413
2291,52446
2292,16565
2293,-28819
2294,-59675
2295,-83787
2296,-102558
2297,-98650
2298,-72116
2299,-35900
2300,-16371
2301,28159
2302,65763
2303,90153
2304,96660
2305,92333
2306,75392
2307,24119
2308,-8675
2309,-29586
2310,-67352
